MatchNo,GameNo,RallyNo,StrikeNo,StrikeVideoPosition,ScoreA1,ScoreA2,ScoreB1,ScoreB2,HitPlayer,BallPosition,NextBallPosition,StrikeTech,NextStrikeTech,StrikePosition,NextStrikePosition,GameAction,NextGameAction,StrikeEffect,NextStrikeEffect,SpinKind,NextSpinKind
2008061704,1,1,1,0.000000,0,0,0,0,王皓,2,13,2,3,2,5,2,3,6,3,8,3
2008061704,1,1,2,2.422977,0,0,0,0,柳承敏,13,22,3,16,5,8,3,10,3,10,3,4
2008061704,1,1,3,3.138152,0,0,0,0,王皓,22,25,16,25,8,13,10,13,10,1,4,11
2008061704,1,2,1,4.583252,1,0,0,0,王皓,2,11,2,13,2,7,2,3,6,5,8,7
2008061704,1,2,2,9.744946,1,0,0,0,柳承敏,11,12,13,10,7,8,3,8,5,4,7,4
2008061704,1,2,3,10.355061,1,0,0,0,王皓,12,21,10,15,8,7,8,9,4,5,4,3
2008061704,1,2,4,10.651050,1,0,0,0,柳承敏,21,16,15,4,7,10,9,8,5,6,3,4
2008061704,1,2,5,11.261982,1,0,0,0,王皓,16,21,4,3,10,9,8,5,6,1,4,3
2008061704,1,2,6,11.661977,1,0,0,0,柳承敏,21,10,3,25,9,13,5,13,1,10,3,11
2008061704,1,2,7,12.830850,1,0,0,0,王皓,10,25,25,0,13,0,13,0,10,0,11,0
2008061704,1,3,1,12.830850,2,0,0,0,柳承敏,1,12,1,10,1,8,1,4,5,6,7,4
2008061704,1,3,2,23.551161,2,0,0,0,王皓,12,21,10,5,8,7,4,5,6,9,4,3
2008061704,1,3,3,24.009177,2,0,0,0,柳承敏,21,26,5,26,7,14,5,14,9,2,3,12
2008061704,1,4,1,25.525388,2,0,1,0,柳承敏,1,6,1,14,1,6,1,4,5,6,7,8
2008061704,1,4,2,36.633306,2,0,1,0,王皓,6,17,14,13,6,9,4,11,6,5,8,7
2008061704,1,4,3,36.901129,2,0,1,0,柳承敏,17,12,13,10,9,8,11,8,5,10,7,4
2008061704,1,4,4,37.588458,2,0,1,0,王皓,12,25,10,25,8,13,8,13,10,1,4,11
2008061704,1,5,1,38.598646,3,0,1,0,王皓,2,13,2,3,2,9,2,3,6,5,8,3
2008061704,1,5,2,48.091234,3,0,1,0,柳承敏,13,22,3,4,9,8,3,6,5,4,3,4
2008061704,1,5,3,48.091234,3,0,1,0,王皓,22,21,4,15,8,7,6,9,4,9,4,3
2008061704,1,5,4,48.676705,3,0,1,0,柳承敏,21,26,15,26,7,14,9,14,9,2,3,12
2008061704,1,6,1,49.598270,3,0,2,0,王皓,0,11,14,13,10,7,0,3,6,5,8,7
2008061704,1,6,2,56.303068,3,0,2,0,柳承敏,11,18,13,12,7,8,3,12,5,6,7,8
2008061704,1,6,3,56.755955,3,0,2,0,王皓,18,9,12,3,8,5,12,7,6,5,8,3
2008061704,1,6,4,57.550317,3,0,2,0,柳承敏,9,10,3,4,5,6,7,6,5,10,3,4
2008061704,1,6,5,58.351980,3,0,2,0,王皓,10,25,4,25,6,13,6,13,10,1,4,11
2008061704,1,7,1,59.585351,4,0,2,0,柳承敏,1,18,1,10,1,8,1,4,5,6,7,4
2008061704,1,7,2,87.256438,4,0,2,0,王皓,18,9,10,21,8,5,4,9,6,5,4,3
2008061704,1,7,3,87.256438,4,0,2,0,柳承敏,9,22,21,4,5,10,9,8,5,4,3,4
2008061704,1,7,4,89.299846,4,0,2,0,王皓,22,21,4,21,10,7,8,9,4,5,4,3
2008061704,1,7,5,90.752474,4,0,2,0,柳承敏,21,22,21,8,7,10,9,8,5,6,3,4
2008061704,1,7,6,91.457664,4,0,2,0,王皓,22,21,8,21,10,7,8,9,6,5,4,3
2008061704,1,7,7,91.944587,4,0,2,0,柳承敏,21,22,21,8,7,10,9,8,5,6,3,4
2008061704,1,7,8,93.209370,4,0,2,0,王皓,22,21,8,21,10,7,8,9,6,5,4,3
2008061704,1,7,9,94.927773,4,0,2,0,柳承敏,21,16,21,8,7,10,9,8,5,6,3,4
2008061704,1,7,10,95.198063,4,0,2,0,王皓,16,21,8,21,10,7,8,9,6,9,4,3
2008061704,1,7,11,95.687007,4,0,2,0,柳承敏,21,26,21,26,7,14,9,14,9,2,3,12
2008061704,1,8,1,97.066005,4,0,3,0,柳承敏,1,12,1,12,1,8,1,4,5,6,7,8
2008061704,1,8,2,111.154306,4,0,3,0,王皓,12,9,12,3,8,5,4,7,6,3,8,3
2008061704,1,8,3,110.937803,4,0,3,0,柳承敏,9,10,3,16,5,6,7,10,3,4,3,4
2008061704,1,8,4,110.937803,4,0,3,0,王皓,10,21,16,15,6,7,10,11,4,7,4,3
2008061704,1,8,5,111.985390,4,0,3,0,柳承敏,21,18,15,8,7,8,11,8,7,2,3,4
2008061704,1,8,6,113.261073,4,0,3,0,王皓,18,21,8,26,8,14,8,14,2,9,4,12
2008061704,1,8,7,114.627408,4,0,3,0,柳承敏,21,26,26,0,14,0,14,0,9,0,12,0
2008061704,1,9,1,114.627408,4,0,4,0,王皓,2,11,2,11,2,7,2,3,6,5,8,7
2008061704,1,9,2,127.624084,4,0,4,0,柳承敏,11,22,11,4,7,8,3,8,5,6,7,4
2008061704,1,9,3,128.111274,4,0,4,0,王皓,22,21,4,5,8,7,8,5,6,5,4,3
2008061704,1,9,4,128.721240,4,0,4,0,柳承敏,21,22,5,4,7,8,5,6,5,6,3,4
2008061704,1,9,5,128.975515,4,0,4,0,王皓,22,21,4,5,8,7,6,5,6,5,4,3
2008061704,1,9,6,128.975515,4,0,4,0,柳承敏,21,22,5,4,7,8,5,6,5,6,3,4
2008061704,1,9,7,129.774261,4,0,4,0,王皓,22,21,4,5,8,7,6,5,6,9,4,3
2008061704,1,9,8,129.975005,4,0,4,0,柳承敏,21,26,5,26,7,14,5,14,9,2,3,12
2008061704,1,10,1,131.428385,4,0,5,0,王皓,2,13,2,3,2,9,2,3,6,9,8,3
2008061704,1,10,2,140.597322,4,0,5,0,柳承敏,13,26,3,26,9,14,3,14,9,2,3,12
2008061704,1,11,1,141.556342,4,0,6,0,柳承敏,1,12,1,10,1,8,1,4,5,10,7,4
2008061704,1,11,2,156.187789,4,0,6,0,王皓,12,25,10,25,8,13,4,13,10,1,4,11
2008061704,1,12,1,157.710637,5,0,6,0,柳承敏,1,14,1,4,1,8,1,4,5,6,7,4
2008061704,1,12,2,170.533823,5,0,6,0,王皓,14,21,4,5,8,7,4,5,6,5,4,3
2008061704,1,12,3,170.862157,5,0,6,0,柳承敏,21,22,5,4,7,8,5,6,5,4,3,4
2008061704,1,12,4,171.038957,5,0,6,0,王皓,22,9,4,3,8,5,6,5,4,3,4,3
2008061704,1,12,5,171.933050,5,0,6,0,柳承敏,9,10,3,4,5,6,5,6,3,4,3,4
2008061704,1,12,6,172.289417,5,0,6,0,王皓,10,21,4,15,6,7,6,9,4,5,4,3
2008061704,1,12,7,172.866830,5,0,6,0,柳承敏,21,22,15,4,7,10,9,8,5,4,3,4
2008061704,1,12,8,173.753030,5,0,6,0,王皓,22,21,4,15,10,7,8,9,4,5,4,3
2008061704,1,12,9,174.457399,5,0,6,0,柳承敏,21,22,15,4,7,10,9,8,5,10,3,4
2008061704,1,12,10,175.958213,5,0,6,0,王皓,22,25,4,25,10,13,8,13,10,1,4,11
2008061704,1,13,1,175.958213,6,0,6,0,王皓,4,11,2,13,4,7,2,3,6,9,8,7
2008061704,1,13,2,194.921508,6,0,6,0,柳承敏,11,26,13,26,7,14,3,14,9,2,7,12
2008061704,1,14,1,196.061204,6,0,7,0,王皓,4,13,2,3,4,5,2,3,8,3,8,3
2008061704,1,14,2,204.344356,6,0,7,0,柳承敏,13,10,3,16,5,6,3,10,3,4,3,4
2008061704,1,14,3,205.084633,6,0,7,0,王皓,10,21,16,26,6,14,10,14,4,9,4,12
2008061704,1,14,4,205.989510,6,0,7,0,柳承敏,21,26,26,0,14,0,14,0,9,0,12,0
2008061704,1,15,1,205.989510,6,0,8,0,柳承敏,1,12,1,12,1,8,1,4,5,6,7,8
2008061704,1,15,2,221.400061,6,0,8,0,王皓,12,21,12,3,8,9,4,7,6,5,8,3
2008061704,1,15,3,221.796789,6,0,8,0,柳承敏,21,22,3,6,9,8,7,6,5,6,3,4
